# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄏㄡ˙	候:2060
ㄏㄢˇ	喊:464
ㄏㄢˊ	含:320|寒:145
ㄏㄢˋ	漢:227|焊:93|旱:59|汗:47|憾:21|捍:17|撼:17
ㄏㄣˇ	很:3637|狠:123
ㄏㄣˊ	痕:44
ㄏㄣˋ	恨:131
ㄏㄤˊ	航:137
ㄏㄥ	哼:147
ㄏㄥˊ	橫:131|衡:80|恆:40
ㄏㄨ	忽:535|呼:378|惚:12
ㄏㄨˇ	虎:171
ㄏㄨˊ	湖:248|衚:215|壺:47|蝴:35|葫:28|狐:18|瑚:16
ㄏㄨˋ	護:468|互:288|戶:131
ㄏㄨ˙	乎:304|糊:87|唬:14
ㄏㄨㄚ	花:1104|嘩:54
ㄏㄨㄚˊ	滑:70|華:29|猾:20
ㄏㄨㄚˋ	話:2332|化:2148|畫:493|劃:438|樺:12
ㄏㄨㄛ	豁:37
ㄏㄨㄛˇ	火:956|夥:402
ㄏㄨㄛˊ	活:1755
ㄏㄨㄛˋ	或:1133|貨:328|獲:156|禍:16|惑:12
ㄏㄨㄞˊ	懷:281|徊:17|槐:12
ㄏㄨㄞˋ	壞:615
ㄏㄨㄟ	揮:365|灰:189|恢:111|輝:100
ㄏㄨㄟˇ	毀:92|悔:39
ㄏㄨㄟˊ	迴:2949
ㄏㄨㄟˋ	會:6866|匯:73|慧:40|繪:39
ㄏㄨㄢˇ	緩:155
ㄏㄨㄢˊ	環:291
ㄏㄨㄢˋ	換:351|幻:62|喚:57|患:53
ㄏㄨㄢ˙	歡:252
ㄏㄨㄣ	昏:117|婚:89
ㄏㄨㄣˊ	渾:99|魂:46
ㄏㄨㄣˋ	混:197
ㄏㄨㄤ	慌:153|荒:54
ㄏㄨㄤˇ	恍:24|謊:21
ㄏㄨㄤˊ	黃:347|皇:85|蝗:62|煌:26|磺:25|凰:16|惶:13
ㄏㄨㄤ˙	晃:39
ㄏㄨㄥ	轟:77|哄:26|烘:19
ㄏㄨㄥˊ	紅:839|洪:46|宏:31
ㄐㄧ	機:2563|基:895|擊:644|積:562|激:407|雞:244|績:132|跡:87|肌:43|圾:38|飢:37|譏:19
ㄐㄧˇ	己:2585|幾:2523|擠:172
ㄐㄧˊ	級:2047|極:911|集:751|及:721|急:621|即:511|疾:44|脊:38|籍:35|吉:13
